Numero de Solicitud,Gerencia,Estado,Fecha AutorizaciOn,Fecha de Cierre Cancelacion,Rango Ponderacion,Puntaje,Esfuerzo,Grupo Principal de Desarrollo,Fecha Asignacion
SOL000876,PRODUCTOS,Ingresado,04/10/2019,,Alto,6.58,,,
SOL000875,SOPORTE DEL NEGOCIO,Ingresado,04/10/2019,,Alto,5.16,,,
SOL000874,GESTION DE RIESGOS,Ingresado,04/10/2019,,Bajo,0.95,,,
SOL000873,SOPORTE DEL NEGOCIO,Ingresado,04/10/2019,,Medio Bajo,2.46,,,
SOL000872,CONTADURIA,Ingresado,04/10/219,,Bajo,1.42,,,
SOL000871,CONTADURIA,Ingresado,04/10/2019,,Bajo,0.78,,,
SOL000870,SOPORTE DEL NEGOCIO,Ingresado,04/10/2019,,Medio Alto,4.72,,,
SOL000869,SOPORTE DEL NEGOCIO,Ingresado,04/10/2019,,Medio Alto,4.99,,,
SOL000868,SOPORTE DEL NEGOCIO,Ingresado,04/10/2019,,Medio Alto,4.96,,,
SOL000867,SOPORTE DEL NEGOCIO,Ingresado,04/10/2019,,Medio Alto,4.72,,,
SOL000866,BANCA CORPORATIVA,Ingresado,04/10/2019,,Medio Bajo,2.26,,,
SOL000865,RED COMERCIAL,Ingresado,04/10/2019,,Bajo,1.04,,,
SOL000864,PROCESOS Y ORGANIZACION,Ingresado,03/10/2019,,Medio Alto,3.66,,,
SOL000863,CONTADURIA,Asignado,03/10/2019,,Bajo,1.42,,REGIMENES INFORMATIVOS,04/10/2019
SOL000862,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,BIP CANAL - PE,
SOL000861,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,BIP CANAL - PE,
SOL000860,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,BIP CANAL - PE,
SOL000859,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,BIP CANAL - PE,
SOL000858,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,INTERNET / MOBILE - PE,
SOL000857,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,INTERNET / MOBILE - PE,
SOL000856,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,INTERNET / MOBILE - PE,
SOL000855,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,BIP SUCURSALES - PE,
SOL000854,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,INTERNET / MOBILE - PE,
SOL000853,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000852,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000851,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000850,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000849,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,6.38,,,
SOL000848,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000847,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000846,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000845,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000844,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000843,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000842,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000841,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000840,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000839,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000838,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000837,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000836,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000835,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000834,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000833,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000832,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000831,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000830,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000829,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000828,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000827,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000826,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000825,PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7.1,,,
SOL000824,COMERCIO EXTERIOR,Ingresado,02/10/2019,,Medio Bajo,3,,,
SOL000823,PROCESOS Y ORGANIZACION,Asignado,02/10/2019,,Bajo,0.68,,PRESTAMOS,02/10/2019
SOL000822,BANCA INSTITUCIONAL,Ingresado,02/10/2019,,Medio Bajo,1.77,,,
SOL000821,SOPORTE DEL NEGOCIO,Ingresado,02/10/2019,,Medio Alto,4.55,,,
SOL000820,MARKETING,Validacion,02/10/2019,,Medio Bajo,1.98,,TARJETAS,
SOL000819,MARKETING,Ingresado,02/10/2019,,Medio Bajo,1.66,,,
SOL000818,PRODUCTOS EMPRESAS,Ingresado,01/10/2019,,Medio Alto,3.46,,PROCAMPO - PACTAR,
SOL000817,PRODUCTOS EMPRESAS,Asignado,01/10/2019,,Medio Bajo,1.67,S,GARANTIAS,02/10/2019
SOL000816,PRODUCTOS EMPRESAS,Asignado,01/10/2019,,Medio Bajo,1.67,S,GARANTIAS,02/10/2019
SOL000815,PRODUCTOS EMPRESAS,Asignado,01/10/2019,,Medio Bajo,1.67,S,GARANTIAS,02/10/2019
SOL000814,PRODUCTOS EMPRESAS,Asignado,01/10/2019,,Medio Bajo,1.67,S,GARANTIAS,02/10/2019
SOL000813,PRODUCTOS EMPRESAS,Asignado,01/10/2019,,Medio Bajo,1.67,S,GARANTIAS,02/10/2019
SOL000812,PRODUCTOS EMPRESAS,Asignado,01/10/2019,,Medio Bajo,1.67,S,GARANTIAS,02/10/2019
SOL000811,MARKETING,Validacion,01/10/2019,,Medio Bajo,2.13,,TARJETAS,
SOL000810,BANCA INSTITUCIONAL,Asignado,01/10/2019,,Medio Bajo,2.21,S,PAGOS Y SERVICIOS,02/10/2019
SOL000809,CONTADURIA,Ingresado,01/10/2019,,Medio Alto,3.31,,,
SOL000808,PRODUCTOS EMPRESAS,Validacion,01/10/2019,,Medio Bajo,1.88,,SUCURSALES BACK END,
SOL000807,GERENCIA GENERAL,Ingresado,01/10/2019,,Medio Bajo,2.22,,,
SOL000806,PROCESOS Y ORGANIZACION,Ingresado,30/09/2019,,Bajo,1.27,,BIP CANAL,
SOL000805,CONTADURIA,Ingresado,04/10/2019,,Muy Bajo,0,,CONTABILIDAD,
SOL000804,PRODUCTOS,Validacion,30/09/2019,,Medio Alto,3.96,,TARJETAS,
SOL000803,PRODUCTOS,Cancelado,27/09/2019,30/09/2019,Medio Bajo,1.89,,BIP CANAL,
SOL000802,CONTADURIA,Validacion,27/09/2019,,Bajo,1.15,,A2180,
SOL000801,CONTADURIA,Validacion,27/09/2019,,Bajo,0.85,,PRESTAMOS,
SOL000800,CONTADURIA,Ingresado,27/09/2019,,Bajo,1.48,,GECON,
SOL000799,CONTADURIA,Asignado,27/09/2019,,Muy Bajo,0.44,XS,A2180,01/10/2019
SOL000798,CONTADURIA,Ingresado,27/09/2019,,Bajo,0.78,,GECON,
SOL000797,PROCESOS Y ORGANIZACION,Asignado,27/09/2019,,Medio Bajo,2.49,,ATM / IB / BE,01/10/2019
SOL000796,PROCESOS Y ORGANIZACION,Ingresado,27/09/2019,,Medio Bajo,2.12,,TAS,
SOL000795,PRODUCTOS,Desarrollo,26/09/2019,,Medio Bajo,2.58,XS,PRESTAMOS,26/09/2019
SOL000794,ASUNTOS JUDICIALES,Cerrado,26/09/2019,04/10/2019,Bajo,0.64,,JUREX,30/09/2019
SOL000793,CONTADURIA,Asignado,26/09/2019,,Bajo,1.05,,CONTABILIDAD,27/09/2019
SOL000792,PROCESOS Y ORGANIZACION,Validacion,26/09/2019,,Bajo,1.43,,BIP CANAL,
SOL000791,CONTADURIA,Validacion,26/09/2019,,Bajo,1.04,,PRESTAMOS,
SOL000790,SOPORTE DEL NEGOCIO,Asignado,26/09/2019,,Medio Bajo,1.62,XS,PAGOS Y SERVICIOS,02/10/2019
SOL000789,GESTION DE LAS PERSONAS,Desarrollo,26/09/2019,,Medio Bajo,1.75,,META 4,26/09/2019
SOL000788,SOPORTE DEL NEGOCIO,Validacion,25/09/2019,,Medio Bajo,1.58,,,
SOL000787,PRODUCTOS,Asignado,25/09/2019,,Bajo,1.08,,INTERNET / MOBILE,01/10/2019
SOL000786,PROCESOS Y ORGANIZACION,Asignado,25/09/2019,,Medio Alto,3.08,,SUCURSALES BACK END,26/09/2019
